time,cD,cL
0.606,2.82865,0.0640644
0.607,2.82761,0.0633165
0.608,2.83004,0.0643504
0.609,2.8429,0.06475
0.61,2.84178,0.0620709
0.611,2.84135,0.061901
0.612,2.84067,0.0615561
0.613,2.84699,0.0656267
0.614,2.84772,0.0664337
0.615,2.8385,0.0584689
0.616,2.84401,0.0615697
0.617,2.84445,0.0620355
0.618,2.8355,0.0538392
0.619,2.83494,0.0535814
0.62,2.84127,0.0575572
0.621,2.84218,0.0582402
0.622,2.83232,0.0514888
0.623,2.8348,0.0534048
0.624,2.83535,0.0537952
0.625,2.82567,0.0480625
0.626,2.8264,0.0490657
0.627,2.82045,0.0454237
0.628,2.82098,0.0463812
0.629,2.81524,0.0429579
0.63,2.81544,0.0438697
0.631,2.80991,0.0406982
0.632,2.81017,0.0417588
0.633,2.80503,0.0388925
0.634,2.8055,0.0400044
0.635,2.79238,0.0345745
0.636,2.79209,0.0344092
0.637,2.79157,0.0341105
0.638,2.79541,0.0366864
0.639,2.79243,0.0342042
0.64,2.81048,0.0217888
0.641,2.81099,0.0214712
0.642,2.76937,0.0319591
0.643,2.78044,0.0266341
0.644,2.80307,0.0308509
0.645,2.79621,0.0241321
0.646,2.80903,0.0258702
0.647,2.81318,0.0285515
0.648,2.80905,0.0252723
0.649,2.81657,0.0305321
0.65,2.81511,0.0320068
0.651,2.81922,0.0350025
0.652,2.82478,0.0343063
0.653,2.82422,0.0341444
0.654,2.83181,0.0364107
0.655,2.85596,0.0277673
0.656,2.84211,0.0271393
0.657,2.84177,0.0271513
0.658,2.84732,0.026316
0.659,2.85521,0.0288734
0.66,2.85312,0.0250411
0.661,2.85747,0.0261514
0.662,2.86021,0.00539366
0.663,2.87833,0.00437284
0.664,2.87052,-0.00413434
0.665,2.87505,-0.00239634
0.666,2.87081,-0.00688837
0.667,2.87477,-0.00660543
0.668,2.8716,-0.020471
0.669,2.87142,-0.0207909
0.67,2.87528,-0.0183229
0.671,2.87053,-0.0214117
0.672,2.86866,-0.0212703
0.673,2.8692,-0.0211052
0.674,2.86413,-0.0248785
0.675,2.86655,-0.0237786
0.676,2.85739,-0.0314776
0.677,2.8572,-0.0318209
0.678,2.86046,-0.0293258
0.679,2.85581,-0.0321751
0.68,2.85566,-0.0325259
0.681,2.85837,-0.0301801
0.682,2.84838,-0.0331079
0.683,2.84831,-0.033342
0.684,2.84809,-0.033666
0.685,2.85197,-0.031012
0.686,2.84613,-0.0347418
0.687,2.84777,-0.0328208
0.688,2.84256,-0.0351151
0.689,2.84258,-0.0332341
0.69,2.83709,-0.034984
0.691,2.83673,-0.0329229
0.692,2.83147,-0.0346066
0.693,2.83111,-0.0327722
0.694,2.82639,-0.0343524
0.695,2.72434,-0.0305831
0.696,2.70614,-0.0267519
0.697,2.70447,-0.02712
0.698,2.71877,-0.0231852
0.699,2.71399,-0.0250079
0.7,2.72213,-0.015571
0.701,2.73431,-0.0133868
0.702,2.7339,-0.0134798
0.703,2.73433,-0.0158998
0.704,2.7461,-0.0193098
0.705,2.74768,-0.050352
0.706,2.78077,-0.0479625
0.707,2.76237,-0.0490042
0.708,2.77079,-0.0518625
0.709,2.785,-0.0643931
0.71,2.78228,-0.0743231
0.711,2.80485,-0.0800161
0.712,2.7988,-0.0857538
0.713,2.80121,-0.0836334
0.714,2.80708,-0.0881131
0.715,2.80883,-0.0843839
0.716,2.82719,-0.0862531
0.717,2.82961,-0.0823145
0.718,2.85384,-0.0818192
0.719,2.85372,-0.0824381
0.72,2.8556,-0.0776297
0.721,2.8617,-0.080983
0.722,2.87696,-0.0749875
0.723,2.8766,-0.0748497
0.724,2.96775,-0.0618112
0.725,2.97113,-0.0528819
0.726,2.97241,-0.052527
0.727,2.96521,-0.0573615
0.728,2.97354,-0.0564321
0.729,2.97457,-0.0560589
0.73,2.97787,-0.0596559
0.731,2.9815,-0.0592319
0.732,2.98276,-0.0580953
0.733,2.98403,-0.0659486
0.734,2.98515,-0.065564
0.735,2.97777,-0.0712595
0.736,2.97654,-0.0804263
0.737,2.9772,-0.0805631
0.738,2.97492,-0.0800462
0.739,2.97079,-0.0845864
0.74,2.97378,-0.0833025
0.741,2.96866,-0.0887926
0.742,2.97237,-0.0879877
0.743,2.96715,-0.0931136
0.744,2.93745,-0.122658
0.745,2.91182,-0.12491
0.746,2.91154,-0.125834
0.747,2.91808,-0.117968
0.748,2.90713,-0.124214
0.749,2.90778,-0.119517
0.75,2.89731,-0.122525
0.751,2.89676,-0.11766
0.752,2.87175,-0.114889
0.753,2.8715,-0.115572
0.754,2.87549,-0.110672
0.755,2.86093,-0.100982
0.756,2.84373,-0.102102
0.757,2.84372,-0.10176
0.758,2.84154,-0.110401
0.759,2.84721,-0.102732
0.76,2.84781,-0.102266
0.761,2.83959,-0.108549
0.762,2.84084,-0.114228
0.763,2.86417,-0.121412
0.764,2.86515,-0.121879
0.765,2.84638,-0.115187
0.766,2.85042,-0.125299
0.767,2.85434,-0.116323
0.768,2.85419,-0.12409
0.769,2.8501,-0.117071
0.77,2.85017,-0.116545
0.771,2.84891,-0.125317
0.772,2.84916,-0.126375
0.773,2.84656,-0.115644
0.774,2.84323,-0.121604
0.775,2.843,-0.122158
0.776,2.84566,-0.116662
0.777,2.84979,-0.121799
0.778,2.8596,-0.114158
0.779,2.85934,-0.113882
0.78,2.86202,-0.119228
0.781,2.86307,-0.113595
0.782,2.86535,-0.117235
0.783,2.87246,-0.109719
0.784,2.87228,-0.109409
0.785,2.87205,-0.108759
0.786,2.87472,-0.116621
0.787,2.87462,-0.117524
0.788,2.87562,-0.108115
0.789,2.88216,-0.10939
0.79,2.88227,-0.109865
0.791,2.88246,-0.110535
0.792,2.88275,-0.111442
0.793,2.8806,-0.10349
0.794,2.88444,-0.103246
0.795,2.88437,-0.103806
0.796,2.88621,-0.0974991
0.797,2.8907,-0.100539
0.798,2.8907,-0.101229
0.799,2.89037,-0.0944088
0.8,2.89693,-0.0921761
0.801,2.89703,-0.0926836
0.802,2.89724,-0.0934002
0.803,2.89513,-0.0861171
0.804,2.89746,-0.0893015
0.805,2.89781,-0.0840024
0.806,2.90123,-0.0867192
0.807,2.9029,-0.0817557
0.808,2.91601,-0.0790982
0.809,2.91606,-0.0795821
0.81,2.91622,-0.0803237
0.811,2.91497,-0.0727906
0.812,2.91469,-0.072301
0.813,2.91838,-0.0786045
0.814,2.92606,-0.0711185
0.815,2.92576,-0.0709586
0.816,2.93103,-0.073084
0.817,2.93228,-0.0692501
0.818,2.94106,-0.0714804
0.819,2.94118,-0.0717227
0.82,2.94019,-0.0678005
0.821,2.94233,-0.0707607
0.822,2.96993,-0.0733047
0.823,2.9924,-0.0869659
0.824,2.99341,-0.0874096
0.825,2.97881,-0.0766516
0.826,2.98131,-0.0843993
0.827,2.96541,-0.102621
0.828,2.95791,-0.0974826
0.829,2.95542,-0.0908725
0.83,2.94882,-0.0925455
0.831,2.93375,-0.0907
0.832,2.89633,-0.0747409
0.833,2.87871,-0.0636568
0.834,2.87883,-0.0629759
0.835,2.87811,-0.0711006
0.836,2.88013,-0.0656215
0.837,2.82651,-0.0582426
0.838,2.83044,-0.0595481
0.839,2.82152,-0.0541378
0.84,2.81589,-0.0575201
0.841,2.80793,-0.0558746
0.842,2.81327,-0.056512
0.843,2.8137,-0.0562812
0.844,2.80124,-0.0595672
0.845,2.8076,-0.0614065
0.846,2.80768,-0.0605452
0.847,2.81855,-0.0712047
0.848,2.80832,-0.0702709
0.849,2.8183,-0.0697034
0.85,2.81885,-0.0694941
0.851,2.80803,-0.0720329
0.852,2.81515,-0.0681613
0.853,2.8363,-0.0595047
0.854,2.82812,-0.0524213
0.855,2.84588,-0.0570119
0.856,2.85718,-0.0536071
0.857,2.85686,-0.053491
0.858,2.86098,-0.0547032
0.859,2.85952,-0.051486
0.86,2.84927,-0.0502548
0.861,2.85525,-0.0461404
0.862,2.83888,-0.0335296
0.863,2.83828,-0.0337818
0.864,2.84537,-0.0307932
0.865,2.83877,-0.0233944
0.866,2.83831,-0.0234518
0.867,2.83076,-0.0119512
0.868,2.82625,-0.00450132
0.869,2.82575,-0.00335619
0.87,2.83017,-0.0155553
0.871,2.82452,-0.00370012
0.872,2.82438,-0.0027927
0.873,2.82531,-0.0120009
0.874,2.82028,-0.00405631
0.875,2.8203,-0.00331781
0.876,2.81984,-0.0108813
0.877,2.79118,-0.0137849
0.878,2.79964,-0.0190472
0.879,2.78751,-0.0201008
0.88,2.79313,-0.0168058
0.881,2.78371,-0.0183701
0.882,2.78844,-0.0145136
0.883,2.77,-0.0109008
0.884,2.76944,-0.0111745
0.885,2.76854,-0.01169
0.886,2.7752,-0.00637724
0.887,2.74648,0.0102524
0.888,2.74288,-0.00591373
0.889,2.73508,0.00359654
0.89,2.73744,-0.0143526
0.891,2.73721,-0.0146833
0.892,2.73705,-0.0154911
0.893,2.73448,-0.00576687
0.894,2.74062,-0.0132311
0.895,2.74038,-0.0141136
0.896,2.73832,-0.00269694
